image_file,xmin,ymin,xmax,ymax,manufacturer,variant
1025794.jpg,3,144,998,431,4.0,0.0
0481847.jpg,73,220,1198,508,4.0,0.0
1514522.jpg,7,217,1196,551,4.0,0.0
1340192.jpg,83,155,964,462,4.0,0.0
0810608.jpg,19,146,986,443,4.0,0.0
0747566.jpg,48,69,998,348,4.0,0.0
0056978.jpg,1,129,891,436,4.0,0.0
1514481.jpg,11,206,1194,522,4.0,0.0
1008575.jpg,6,133,1022,469,4.0,0.0
0698580.jpg,8,164,996,435,4.0,0.0
0887066.jpg,1,47,1007,531,4.0,0.0
0717480.jpg,17,90,1197,555,4.0,0.0
0450014.jpg,29,396,1268,634,4.0,0.0
1318819.jpg,8,199,1196,525,4.0,0.0
0991569.jpg,99,153,981,452,4.0,0.0
1042824.jpg,54,167,930,427,4.0,0.0
0624128.jpg,16,36,1021,545,4.0,0.0
1446335.jpg,9,188,1191,518,4.0,0.0
0894380.jpg,1,179,984,428,4.0,0.0
0602177.jpg,25,161,1178,634,4.0,0.0
1345732.jpg,11,148,986,476,4.0,0.0
1427680.jpg,44,165,1009,442,4.0,0.0
1148180.jpg,100,238,995,456,4.0,0.0
0064932.jpg,12,76,786,312,4.0,0.0
0817494.jpg,3,60,1003,606,4.0,0.0
1346004.jpg,32,176,986,438,4.0,0.0
1453508.jpg,14,250,1592,706,4.0,0.0
0716386.jpg,5,136,995,422,4.0,0.0
1288661.jpg,1,185,1191,510,4.0,0.0
0536515.jpg,111,134,1193,481,4.0,0.0
0951982.jpg,48,197,979,452,4.0,0.0
0760910.jpg,380,225,1020,410,4.0,0.0
0809560.jpg,4,191,1015,456,4.0,0.0
0731614.jpg,35,201,1152,513,4.0,0.0
0113201.jpg,10,101,897,415,4.0,0.0
0812092.jpg,7,151,997,441,4.0,0.0
0582363.jpg,0,144,993,426,4.0,0.0
0923884.jpg,12,181,997,434,4.0,0.0
0979377.jpg,2,178,1012,444,4.0,0.0
1082409.jpg,3,43,1021,582,4.0,0.0
0987261.jpg,109,176,921,407,4.0,0.0
0062765.jpg,22,133,779,340,4.0,0.0
2031775.jpg,14,110,1178,541,4.0,0.0
0536511.jpg,128,198,1132,494,4.0,0.0
1191359.jpg,42,191,969,445,4.0,0.0
0950991.jpg,143,272,915,516,4.0,0.0
0732667.jpg,33,152,1147,493,4.0,0.0
0894381.jpg,4,162,994,421,4.0,0.0
0869722.jpg,7,166,986,447,4.0,0.0
0901498.jpg,8,182,985,432,4.0,0.0
0574359.jpg,7,225,991,479,4.0,0.0
0979376.jpg,11,145,1022,491,4.0,0.0
0631897.jpg,91,195,913,433,4.0,0.0
0447936.jpg,6,173,997,442,4.0,0.0
1002439.jpg,117,187,1006,437,4.0,0.0
1193587.jpg,64,209,923,460,4.0,0.0
0658110.jpg,17,167,993,445,4.0,0.0
0864665.jpg,0,246,676,461,4.0,0.0
0198101.jpg,1,83,1001,530,4.0,0.0
0725155.jpg,10,190,1182,527,4.0,0.0
1207591.jpg,9,188,1195,510,4.0,0.0
1017179.jpg,15,169,1012,453,4.0,0.0
0691159.jpg,62,146,1199,652,4.0,0.0
0582372.jpg,5,159,995,436,4.0,0.0
1068565.jpg,6,187,1195,542,4.0,0.0
1707891.jpg,12,177,989,476,4.0,0.0
0729223.jpg,80,156,998,409,4.0,0.0
0063435.jpg,19,82,765,295,4.0,0.0
1338874.jpg,13,105,978,452,4.0,0.0
1319365.jpg,5,181,1195,501,4.0,0.0
0732410.jpg,8,186,986,460,4.0,0.0
0812908.jpg,13,226,990,449,4.0,0.0
0548719.jpg,6,131,953,486,4.0,0.0
0536721.jpg,85,137,1196,480,4.0,0.0
1187784.jpg,10,104,970,469,4.0,0.0
0577855.jpg,7,164,991,425,4.0,0.0
1518652.jpg,1,139,1194,543,4.0,0.0
0895165.jpg,3,168,990,436,4.0,0.0
1423583.jpg,7,186,1197,524,4.0,0.0
1009831.jpg,116,168,912,426,4.0,0.0
0197342.jpg,20,167,979,435,4.0,0.0
1187431.jpg,11,191,1190,504,4.0,0.0
0062781.jpg,57,164,769,381,4.0,0.0
0789828.jpg,34,97,986,422,4.0,0.0
0610657.jpg,38,176,926,477,4.0,0.0
0458781.jpg,5,135,989,442,4.0,0.0
0602227.jpg,13,115,1172,511,4.0,0.0
0869742.jpg,4,159,998,424,4.0,0.0
1514484.jpg,9,236,1271,649,4.0,0.0
2127935.jpg,9,262,1198,542,4.0,0.0
0687610.jpg,26,134,968,431,4.0,0.0
0869692.jpg,0,159,994,428,4.0,0.0
0869739.jpg,2,124,992,447,4.0,0.0
1042021.jpg,136,170,892,382,4.0,0.0
1152266.jpg,58,85,995,494,4.0,0.0
0939480.jpg,70,142,995,465,4.0,0.0
0482761.jpg,9,215,1269,590,4.0,0.0
1199327.jpg,5,228,1020,457,4.0,0.0
0537688.jpg,155,115,1184,430,4.0,0.0
0064933.jpg,14,59,799,333,4.0,0.0
1426527.jpg,24,224,1067,457,4.0,1.0
0116175.jpg,40,193,763,367,4.0,1.0
1019011.jpg,19,237,993,465,4.0,1.0
0275719.jpg,38,248,1298,607,4.0,1.0
0704269.jpg,10,247,992,448,4.0,1.0
0732456.jpg,1,141,993,451,4.0,1.0
1188390.jpg,6,187,1014,462,4.0,1.0
1192237.jpg,7,202,991,435,4.0,1.0
0218039.jpg,16,212,970,416,4.0,1.0
1862134.jpg,29,206,1062,469,4.0,1.0
1169900.jpg,24,272,1181,510,4.0,1.0
2223757.jpg,134,15,862,759,4.0,1.0
0482763.jpg,3,260,1270,713,4.0,1.0
0328235.jpg,241,218,986,406,4.0,1.0
0983618.jpg,40,231,989,441,4.0,1.0
0345994.jpg,17,214,1215,467,4.0,1.0
0923507.jpg,3,154,990,489,4.0,1.0
1327285.jpg,26,225,1005,468,4.0,1.0
0063291.jpg,3,96,776,285,4.0,1.0
0306187.jpg,48,222,963,429,4.0,1.0
0065840.jpg,0,46,718,463,4.0,1.0
1298905.jpg,6,219,993,444,4.0,1.0
0907384.jpg,9,227,988,435,4.0,1.0
0980196.jpg,11,231,1006,451,4.0,1.0
1446378.jpg,8,231,1196,513,4.0,1.0
0064005.jpg,1,159,741,410,4.0,1.0
0995286.jpg,6,184,989,493,4.0,1.0
0689276.jpg,89,273,1105,497,4.0,1.0
0907370.jpg,1,241,996,455,4.0,1.0
1514487.jpg,5,245,1190,518,4.0,1.0
1691787.jpg,25,113,1004,527,4.0,1.0
1337431.jpg,13,250,1192,507,4.0,1.0
0213505.jpg,5,220,1001,416,4.0,1.0
0321755.jpg,13,222,1141,470,4.0,1.0
0061581.jpg,25,89,799,305,4.0,1.0
1459191.jpg,10,245,1187,520,4.0,1.0
0582367.jpg,8,230,997,451,4.0,1.0
1338360.jpg,7,235,1196,537,4.0,1.0
1063986.jpg,54,264,976,415,4.0,1.0
0907378.jpg,11,205,999,453,4.0,1.0
2208641.jpg,12,233,1190,512,4.0,1.0
0056337.jpg,11,220,980,444,4.0,1.0
0879892.jpg,0,149,995,466,4.0,1.0
0218041.jpg,31,213,993,431,4.0,1.0
0409532.jpg,39,247,1311,576,4.0,1.0
0730793.jpg,3,181,991,436,4.0,1.0
0907433.jpg,13,216,998,438,4.0,1.0
0771164.jpg,9,152,998,450,4.0,1.0
0939607.jpg,2,180,1018,433,4.0,1.0
0694478.jpg,12,162,996,452,4.0,1.0
0632010.jpg,9,196,997,402,4.0,1.0
0275123.jpg,31,299,1270,563,4.0,1.0
0699286.jpg,323,142,1018,336,4.0,1.0
0901504.jpg,5,192,999,452,4.0,1.0
0994960.jpg,38,204,1006,420,4.0,1.0
1713236.jpg,9,205,991,418,4.0,1.0
0063052.jpg,5,126,794,313,4.0,1.0
0638654.jpg,5,174,1023,548,4.0,1.0
1047756.jpg,40,205,1005,441,4.0,1.0
0143080.jpg,92,125,892,450,4.0,1.0
0699599.jpg,7,224,991,455,4.0,1.0
0256039.jpg,57,246,899,435,4.0,1.0
1089989.jpg,88,207,990,438,4.0,1.0
0356165.jpg,29,204,1190,539,4.0,1.0
2021695.jpg,8,214,1020,453,4.0,1.0
0907359.jpg,14,165,990,547,4.0,1.0
0063113.jpg,18,127,796,327,4.0,1.0
0907405.jpg,10,183,998,423,4.0,1.0
0875281.jpg,9,200,992,422,4.0,1.0
0907364.jpg,5,207,995,451,4.0,1.0
0724783.jpg,1,180,1060,618,4.0,1.0
1197395.jpg,31,228,1009,460,4.0,1.0
0740881.jpg,7,215,994,456,4.0,1.0
1215395.jpg,1,197,1003,427,4.0,1.0
1149060.jpg,9,214,994,426,4.0,1.0
0314131.jpg,44,240,1022,458,4.0,1.0
0920409.jpg,5,188,991,434,4.0,1.0
1059846.jpg,57,244,985,468,4.0,1.0
0745103.jpg,54,228,974,464,4.0,1.0
1833887.jpg,12,209,993,444,4.0,1.0
0786258.jpg,12,229,1021,457,4.0,1.0
0250399.jpg,4,186,1005,598,4.0,1.0
0713927.jpg,321,219,1179,424,4.0,1.0
1512865.jpg,38,223,1004,443,4.0,1.0
0075758.jpg,43,132,791,301,4.0,1.0
0538261.jpg,2,1,1197,612,4.0,1.0
0523223.jpg,4,215,998,454,4.0,1.0
0901521.jpg,10,207,993,430,4.0,1.0
0109655.jpg,12,239,941,455,4.0,1.0
1115308.jpg,8,191,990,459,4.0,1.0
0147047.jpg,1,142,1002,400,4.0,1.0
1639641.jpg,17,166,1187,752,4.0,1.0
1739565.jpg,11,206,997,423,4.0,1.0
0875317.jpg,10,215,998,453,4.0,1.0
0457894.jpg,6,226,996,424,4.0,1.0
0994986.jpg,9,189,1017,418,4.0,1.0
1036881.jpg,15,152,993,602,4.0,1.0
0846103.jpg,13,217,1023,507,4.0,1.0
0193983.jpg,189,188,886,349,4.0,1.0
0048341.jpg,130,205,862,384,4.0,1.0
0227058.jpg,41,253,986,525,4.0,2.0
0822348.jpg,8,75,994,442,4.0,2.0
0480706.jpg,79,88,1019,513,4.0,2.0
0950275.jpg,115,137,1020,449,4.0,2.0
1152739.jpg,65,125,1152,560,4.0,2.0
0497532.jpg,11,131,995,473,4.0,2.0
0114122.jpg,1,17,933,645,4.0,2.0
0907429.jpg,1,70,992,486,4.0,2.0
0091362.jpg,27,58,786,346,4.0,2.0
1754503.jpg,12,127,1195,566,4.0,2.0
0209554.jpg,17,119,1005,561,4.0,2.0
1036858.jpg,8,152,993,483,4.0,2.0
0127648.jpg,28,119,998,495,4.0,2.0
1187709.jpg,10,186,1017,534,4.0,2.0
2248578.jpg,8,163,1021,518,4.0,2.0
0225218.jpg,23,143,989,496,4.0,2.0
0847273.jpg,29,222,1481,728,4.0,2.0
1339026.jpg,9,112,1196,671,4.0,2.0
1713238.jpg,7,105,993,469,4.0,2.0
0923506.jpg,9,78,999,502,4.0,2.0
1115293.jpg,2,128,995,498,4.0,2.0
1295799.jpg,14,112,1195,551,4.0,2.0
0059101.jpg,14,67,743,354,4.0,2.0
0894319.jpg,7,134,992,518,4.0,2.0
1455998.jpg,6,115,1192,561,4.0,2.0
1548405.jpg,14,178,1488,720,4.0,2.0
0853398.jpg,131,197,822,449,4.0,2.0
1102089.jpg,7,24,1011,535,4.0,2.0
0438655.jpg,9,117,995,499,4.0,2.0
0536510.jpg,59,103,1071,495,4.0,2.0
0067619.jpg,30,81,770,360,4.0,2.0
0921022.jpg,4,145,992,497,4.0,2.0
0923673.jpg,11,128,989,502,4.0,2.0
0713752.jpg,6,215,992,468,4.0,2.0
1094669.jpg,118,157,1015,478,4.0,2.0
0894315.jpg,2,97,993,480,4.0,2.0
1361876.jpg,19,119,997,520,4.0,2.0
0198443.jpg,2,23,1004,569,4.0,2.0
1351345.jpg,8,171,1268,654,4.0,2.0
0704268.jpg,9,155,991,506,4.0,2.0
0851647.jpg,2,148,1016,514,4.0,2.0
0061580.jpg,45,63,749,323,4.0,2.0
0494478.jpg,1,34,953,561,4.0,2.0
0247942.jpg,27,149,1187,540,4.0,2.0
1514479.jpg,10,154,1191,588,4.0,2.0
1398436.jpg,10,152,1184,589,4.0,2.0
0564495.jpg,68,105,971,487,4.0,2.0
