image_file,xmin,ymin,xmax,ymax
1025794.jpg,3,144,998,431
0481847.jpg,73,220,1198,508
1514522.jpg,7,217,1196,551
1340192.jpg,83,155,964,462
0810608.jpg,19,146,986,443
0747566.jpg,48,69,998,348
0056978.jpg,1,129,891,436
1514481.jpg,11,206,1194,522
1008575.jpg,6,133,1022,469
0698580.jpg,8,164,996,435
0887066.jpg,1,47,1007,531
0717480.jpg,17,90,1197,555
0450014.jpg,29,396,1268,634
1318819.jpg,8,199,1196,525
0991569.jpg,99,153,981,452
1042824.jpg,54,167,930,427
0624128.jpg,16,36,1021,545
1446335.jpg,9,188,1191,518
0894380.jpg,1,179,984,428
0602177.jpg,25,161,1178,634
1345732.jpg,11,148,986,476
1427680.jpg,44,165,1009,442
1148180.jpg,100,238,995,456
0064932.jpg,12,76,786,312
0817494.jpg,3,60,1003,606
1346004.jpg,32,176,986,438
1453508.jpg,14,250,1592,706
0716386.jpg,5,136,995,422
1288661.jpg,1,185,1191,510
0536515.jpg,111,134,1193,481
0951982.jpg,48,197,979,452
0760910.jpg,380,225,1020,410
0809560.jpg,4,191,1015,456
0731614.jpg,35,201,1152,513
0113201.jpg,10,101,897,415
0812092.jpg,7,151,997,441
0582363.jpg,0,144,993,426
0923884.jpg,12,181,997,434
0979377.jpg,2,178,1012,444
1082409.jpg,3,43,1021,582
0987261.jpg,109,176,921,407
0062765.jpg,22,133,779,340
2031775.jpg,14,110,1178,541
0536511.jpg,128,198,1132,494
1191359.jpg,42,191,969,445
0950991.jpg,143,272,915,516
0732667.jpg,33,152,1147,493
0894381.jpg,4,162,994,421
0869722.jpg,7,166,986,447
0901498.jpg,8,182,985,432
0574359.jpg,7,225,991,479
0979376.jpg,11,145,1022,491
0631897.jpg,91,195,913,433
0447936.jpg,6,173,997,442
1002439.jpg,117,187,1006,437
1193587.jpg,64,209,923,460
0658110.jpg,17,167,993,445
0864665.jpg,0,246,676,461
0198101.jpg,1,83,1001,530
0725155.jpg,10,190,1182,527
1207591.jpg,9,188,1195,510
1017179.jpg,15,169,1012,453
0691159.jpg,62,146,1199,652
0582372.jpg,5,159,995,436
1068565.jpg,6,187,1195,542
1707891.jpg,12,177,989,476
0729223.jpg,80,156,998,409
0063435.jpg,19,82,765,295
1338874.jpg,13,105,978,452
1319365.jpg,5,181,1195,501
0732410.jpg,8,186,986,460
0812908.jpg,13,226,990,449
0548719.jpg,6,131,953,486
0536721.jpg,85,137,1196,480
1187784.jpg,10,104,970,469
0577855.jpg,7,164,991,425
1518652.jpg,1,139,1194,543
0895165.jpg,3,168,990,436
1423583.jpg,7,186,1197,524
1009831.jpg,116,168,912,426
0197342.jpg,20,167,979,435
1187431.jpg,11,191,1190,504
0062781.jpg,57,164,769,381
0789828.jpg,34,97,986,422
0610657.jpg,38,176,926,477
0458781.jpg,5,135,989,442
0602227.jpg,13,115,1172,511
0869742.jpg,4,159,998,424
1514484.jpg,9,236,1271,649
2127935.jpg,9,262,1198,542
0687610.jpg,26,134,968,431
0869692.jpg,0,159,994,428
0869739.jpg,2,124,992,447
1042021.jpg,136,170,892,382
1152266.jpg,58,85,995,494
0939480.jpg,70,142,995,465
0482761.jpg,9,215,1269,590
1199327.jpg,5,228,1020,457
0537688.jpg,155,115,1184,430
0064933.jpg,14,59,799,333
1426527.jpg,24,224,1067,457
0116175.jpg,40,193,763,367
1019011.jpg,19,237,993,465
0275719.jpg,38,248,1298,607
0704269.jpg,10,247,992,448
0732456.jpg,1,141,993,451
1188390.jpg,6,187,1014,462
1192237.jpg,7,202,991,435
0218039.jpg,16,212,970,416
1862134.jpg,29,206,1062,469
1169900.jpg,24,272,1181,510
2223757.jpg,134,15,862,759
0482763.jpg,3,260,1270,713
0328235.jpg,241,218,986,406
0983618.jpg,40,231,989,441
0345994.jpg,17,214,1215,467
0923507.jpg,3,154,990,489
1327285.jpg,26,225,1005,468
0063291.jpg,3,96,776,285
0306187.jpg,48,222,963,429
0065840.jpg,0,46,718,463
1298905.jpg,6,219,993,444
0907384.jpg,9,227,988,435
0980196.jpg,11,231,1006,451
1446378.jpg,8,231,1196,513
0064005.jpg,1,159,741,410
0995286.jpg,6,184,989,493
0689276.jpg,89,273,1105,497
0907370.jpg,1,241,996,455
1514487.jpg,5,245,1190,518
1691787.jpg,25,113,1004,527
1337431.jpg,13,250,1192,507
0213505.jpg,5,220,1001,416
0321755.jpg,13,222,1141,470
0061581.jpg,25,89,799,305
1459191.jpg,10,245,1187,520
0582367.jpg,8,230,997,451
1338360.jpg,7,235,1196,537
1063986.jpg,54,264,976,415
0907378.jpg,11,205,999,453
2208641.jpg,12,233,1190,512
0056337.jpg,11,220,980,444
0879892.jpg,0,149,995,466
0218041.jpg,31,213,993,431
0409532.jpg,39,247,1311,576
