image_file,xmin,ymin,xmax,ymax,manufacturer,variant
1025794.jpg,3,144,998,431,4.0,0.0
1340192.jpg,83,155,964,462,4.0,0.0
0056978.jpg,1,129,891,436,4.0,0.0
0698580.jpg,8,164,996,435,4.0,0.0
0450014.jpg,29,396,1268,634,4.0,0.0
1042824.jpg,54,167,930,427,4.0,0.0
0894380.jpg,1,179,984,428,4.0,0.0
1427680.jpg,44,165,1009,442,4.0,0.0
0817494.jpg,3,60,1003,606,4.0,0.0
0716386.jpg,5,136,995,422,4.0,0.0
0951982.jpg,48,197,979,452,4.0,0.0
0731614.jpg,35,201,1152,513,4.0,0.0
0582363.jpg,0,144,993,426,4.0,0.0
1082409.jpg,3,43,1021,582,4.0,0.0
2031775.jpg,14,110,1178,541,4.0,0.0
0950991.jpg,143,272,915,516,4.0,0.0
0869722.jpg,7,166,986,447,4.0,0.0
0979376.jpg,11,145,1022,491,4.0,0.0
1002439.jpg,117,187,1006,437,4.0,0.0
0864665.jpg,0,246,676,461,4.0,0.0
1207591.jpg,9,188,1195,510,4.0,0.0
0582372.jpg,5,159,995,436,4.0,0.0
0729223.jpg,80,156,998,409,4.0,0.0
1319365.jpg,5,181,1195,501,4.0,0.0
0548719.jpg,6,131,953,486,4.0,0.0
0577855.jpg,7,164,991,425,4.0,0.0
1423583.jpg,7,186,1197,524,4.0,0.0
1187431.jpg,11,191,1190,504,4.0,0.0
0610657.jpg,38,176,926,477,4.0,0.0
0869742.jpg,4,159,998,424,4.0,0.0
0687610.jpg,26,134,968,431,4.0,0.0
1042021.jpg,136,170,892,382,4.0,0.0
0482761.jpg,9,215,1269,590,4.0,0.0
0064933.jpg,14,59,799,333,4.0,0.0
1019011.jpg,19,237,993,465,4.0,1.0
0732456.jpg,1,141,993,451,4.0,1.0
0218039.jpg,16,212,970,416,4.0,1.0
2223757.jpg,134,15,862,759,4.0,1.0
0983618.jpg,40,231,989,441,4.0,1.0
1327285.jpg,26,225,1005,468,4.0,1.0
0065840.jpg,0,46,718,463,4.0,1.0
0980196.jpg,11,231,1006,451,4.0,1.0
0995286.jpg,6,184,989,493,4.0,1.0
1514487.jpg,5,245,1190,518,4.0,1.0
0213505.jpg,5,220,1001,416,4.0,1.0
1459191.jpg,10,245,1187,520,4.0,1.0
1063986.jpg,54,264,976,415,4.0,1.0
0056337.jpg,11,220,980,444,4.0,1.0
0409532.jpg,39,247,1311,576,4.0,1.0
0771164.jpg,9,152,998,450,4.0,1.0
0632010.jpg,9,196,997,402,4.0,1.0
0901504.jpg,5,192,999,452,4.0,1.0
0063052.jpg,5,126,794,313,4.0,1.0
0143080.jpg,92,125,892,450,4.0,1.0
1089989.jpg,88,207,990,438,4.0,1.0
0907359.jpg,14,165,990,547,4.0,1.0
0875281.jpg,9,200,992,422,4.0,1.0
1197395.jpg,31,228,1009,460,4.0,1.0
1149060.jpg,9,214,994,426,4.0,1.0
1059846.jpg,57,244,985,468,4.0,1.0
0786258.jpg,12,229,1021,457,4.0,1.0
1512865.jpg,38,223,1004,443,4.0,1.0
0523223.jpg,4,215,998,454,4.0,1.0
1115308.jpg,8,191,990,459,4.0,1.0
1739565.jpg,11,206,997,423,4.0,1.0
0994986.jpg,9,189,1017,418,4.0,1.0
0193983.jpg,189,188,886,349,4.0,1.0
0822348.jpg,8,75,994,442,4.0,2.0
1152739.jpg,65,125,1152,560,4.0,2.0
0907429.jpg,1,70,992,486,4.0,2.0
0209554.jpg,17,119,1005,561,4.0,2.0
1187709.jpg,10,186,1017,534,4.0,2.0
0847273.jpg,29,222,1481,728,4.0,2.0
0923506.jpg,9,78,999,502,4.0,2.0
0059101.jpg,14,67,743,354,4.0,2.0
1548405.jpg,14,178,1488,720,4.0,2.0
0438655.jpg,9,117,995,499,4.0,2.0
0921022.jpg,4,145,992,497,4.0,2.0
1094669.jpg,118,157,1015,478,4.0,2.0
0198443.jpg,2,23,1004,569,4.0,2.0
0851647.jpg,2,148,1016,514,4.0,2.0
0247942.jpg,27,149,1187,540,4.0,2.0
0564495.jpg,68,105,971,487,4.0,2.0
0826475.jpg,56,138,963,484,4.0,2.0
0065422.jpg,28,60,894,387,4.0,2.0
1189268.jpg,39,173,996,515,4.0,2.0
0054367.jpg,2,180,839,538,4.0,2.0
1918572.jpg,21,114,997,460,4.0,2.0
0337947.jpg,13,146,995,463,4.0,2.0
1143132.jpg,4,137,991,478,4.0,2.0
0789826.jpg,57,144,994,489,4.0,2.0
1942698.jpg,70,193,1040,536,4.0,2.0
0458661.jpg,11,118,990,477,4.0,2.0
0447807.jpg,9,111,987,469,4.0,2.0
0074464.jpg,25,57,785,355,4.0,2.0
1296896.jpg,7,110,1193,541,4.0,2.0
0056331.jpg,30,146,944,476,4.0,2.0
0592977.jpg,160,264,1166,687,4.0,2.0
0610653.jpg,4,161,1540,735,4.0,2.0
0523229.jpg,6,142,996,485,4.0,2.0
1899111.jpg,36,232,1066,477,4.0,3.0
0069776.jpg,18,100,761,357,4.0,3.0
0569402.jpg,54,229,1224,615,4.0,3.0
1538841.jpg,5,157,1312,602,4.0,3.0
0830001.jpg,5,107,999,488,4.0,3.0
1323729.jpg,16,211,1009,475,4.0,3.0
0799595.jpg,8,146,998,481,4.0,3.0
1110775.jpg,5,136,992,491,4.0,3.0
1393334.jpg,18,110,1009,447,4.0,3.0
0728390.jpg,25,27,1198,652,4.0,3.0
0907408.jpg,6,109,979,471,4.0,3.0
1396876.jpg,14,207,1590,730,4.0,3.0
0492497.jpg,5,110,976,496,4.0,3.0
0097935.jpg,85,137,858,501,4.0,3.0
1691783.jpg,3,157,1015,472,4.0,3.0
0278443.jpg,1,165,947,477,4.0,3.0
0090868.jpg,83,65,898,371,4.0,3.0
1927313.jpg,6,170,1192,534,4.0,3.0
0178292.jpg,27,152,992,456,4.0,3.0
0114409.jpg,11,73,790,358,4.0,3.0
0986161.jpg,2,76,1015,490,4.0,3.0
1295999.jpg,13,167,1194,532,4.0,3.0
1879894.jpg,8,165,1184,544,4.0,3.0
1564774.jpg,18,221,1484,698,4.0,3.0
0097577.jpg,51,90,776,339,4.0,3.0
0074247.jpg,1,111,761,361,4.0,3.0
2115318.jpg,22,155,994,457,4.0,3.0
0687267.jpg,67,179,1173,538,4.0,3.0
0748299.jpg,7,137,1010,489,4.0,3.0
1251289.jpg,28,203,1000,461,4.0,3.0
1560581.jpg,2,151,1274,584,4.0,3.0
0848057.jpg,717,246,1021,352,4.0,3.0
0066279.jpg,26,119,753,360,4.0,3.0
2080684.jpg,24,189,1166,603,4.0,3.0
1102458.jpg,9,161,992,461,4.0,4.0
1906287.jpg,13,229,1193,564,4.0,4.0
0438658.jpg,9,147,995,456,4.0,4.0
1368847.jpg,7,246,1575,723,4.0,4.0
1871885.jpg,57,212,1066,518,4.0,4.0
2236962.jpg,10,162,1015,465,4.0,4.0
1846193.jpg,6,131,1019,451,4.0,4.0
1702255.jpg,8,163,1016,448,4.0,4.0
0420818.jpg,1,224,914,548,4.0,4.0
2186493.jpg,19,193,1187,557,4.0,4.0
0127627.jpg,19,252,997,495,4.0,4.0
0699596.jpg,7,168,987,477,4.0,4.0
2117477.jpg,20,178,1008,460,4.0,4.0
2031382.jpg,11,165,1194,518,4.0,4.0
1532634.jpg,26,206,1077,503,4.0,4.0
2244446.jpg,11,157,1190,516,4.0,4.0
0242845.jpg,4,238,995,484,4.0,4.0
2026894.jpg,4,119,1017,452,4.0,4.0
1059090.jpg,27,180,1027,487,4.0,4.0
1398863.jpg,8,182,1271,578,4.0,4.0
0302648.jpg,23,210,1009,505,4.0,4.0
0987619.jpg,20,354,1479,702,4.0,4.0
0988944.jpg,12,179,1013,491,4.0,4.0
0853774.jpg,19,179,1507,628,4.0,4.0
1758545.jpg,14,180,1017,462,4.0,4.0
0122393.jpg,29,125,895,415,4.0,4.0
2066262.jpg,10,158,1188,545,4.0,4.0
0829999.jpg,5,151,997,452,4.0,4.0
0939568.jpg,5,152,994,456,4.0,4.0
0328123.jpg,47,214,986,480,4.0,4.0
1933719.jpg,16,215,1185,551,4.0,4.0
0740907.jpg,7,128,993,436,4.0,4.0
0933127.jpg,4,94,1017,487,4.0,4.0
1758606.jpg,7,139,1193,551,4.0,5.0
1264479.jpg,9,105,1276,611,4.0,5.0
1093636.jpg,9,145,1015,480,4.0,5.0
0457865.jpg,10,142,986,482,4.0,5.0
0723229.jpg,36,130,987,480,4.0,5.0
0706205.jpg,6,127,990,491,4.0,5.0
2103080.jpg,7,92,1018,459,4.0,5.0
1459173.jpg,10,165,1181,584,4.0,5.0
0657761.jpg,47,180,1559,693,4.0,5.0
