image_file,xmin,ymin,xmax,ymax,manufacturer,variant
0979624.jpg,11,151,986,487,1.0,24.0
0275110.jpg,33,210,1290,591,13.0,67.0
1671731.jpg,7,244,1195,606,1.0,24.0
0167073.jpg,68,159,984,485,0.0,34.0
2259663.jpg,22,193,1166,597,24.0,62.0
1815918.jpg,17,96,1009,473,6.0,38.0
1284367.jpg,9,235,994,445,7.0,46.0
1308267.jpg,4,47,1022,511,12.0,54.0
1732549.jpg,13,124,1012,441,1.0,25.0
1539422.jpg,11,218,1493,652,0.0,35.0
1680766.jpg,6,192,1196,515,1.0,30.0
1351340.jpg,14,255,1186,520,4.0,41.0
0273083.jpg,28,139,1022,617,6.0,39.0
1389125.jpg,14,204,1009,489,21.0,87.0
1603035.jpg,6,110,1018,466,4.0,8.0
0944245.jpg,3,138,989,451,4.0,8.0
1505793.jpg,9,184,1013,442,4.0,20.0
1094667.jpg,74,221,985,471,4.0,11.0
0977330.jpg,8,136,997,487,4.0,5.0
1174475.jpg,47,113,961,502,22.0,96.0
0967844.jpg,10,204,984,476,15.0,89.0
1293682.jpg,43,180,993,467,15.0,89.0
2234654.jpg,12,212,1193,499,4.0,20.0
1596398.jpg,8,221,1275,565,16.0,78.0
2081098.jpg,7,169,1192,593,1.0,31.0
2157387.jpg,6,219,1017,476,1.0,28.0
0985968.jpg,18,221,1036,450,4.0,15.0
2239816.jpg,7,206,1187,503,4.0,20.0
1288666.jpg,9,254,1193,501,21.0,86.0
1679994.jpg,9,186,1013,484,3.0,90.0
1631990.jpg,22,198,1193,521,1.0,30.0
2170856.jpg,22,159,1003,465,11.0,63.0
0062857.jpg,20,108,777,322,1.0,30.0
0735402.jpg,7,191,1007,506,20.0,72.0
0620000.jpg,33,127,1012,411,12.0,55.0
1345199.jpg,14,295,1184,527,13.0,69.0
0980635.jpg,19,316,1578,740,1.0,28.0
0081597.jpg,11,89,786,330,4.0,8.0
1004797.jpg,4,192,990,438,4.0,15.0
2057958.jpg,8,234,1192,545,29.0,60.0
2031399.jpg,8,170,1195,519,4.0,17.0
0843965.jpg,93,104,930,427,29.0,59.0
0796213.jpg,18,171,1002,438,4.0,10.0
1943356.jpg,9,185,1186,573,17.0,80.0
